Secțiune,Element / Zonă,Schimbarea dorită (descriere),Prioritate (P1/P2/P3),Status (De discutat / Aprobat / În lucru / Livrat),Note / Referință (screenshot)
HEADER,Logo + navigație,,,De discutat,
HEADER,Butoane Login / Creare cont,,,De discutat,
HERO (varianta B),Titlu + subtitlu,,,De discutat,
HERO (varianta B),Panou planșă + voturi pe roluri (HeroPreview),,,De discutat,
HERO (varianta B),CTA principal,,,De discutat,
01 — Problema & soluția,"Titlu („Detaliile bune se pierd. Greșelile se repetă.")",,,De discutat,
01 — Problema & soluția,Conținut / carduri problemă-soluție,,,De discutat,
02 — Cum funcționează,"Titlu („Trei pași, de la desen la validare.")",,,De discutat,
02 — Cum funcționează,Storyboard 3 pași (publicat → propus → validat) + reveal la scroll,,,De discutat,
03 — Ce câștigi,Titlu + coloană text,,,De discutat,
03 — Ce câștigi,"Lista de beneficii (detalii verificate, cine aprobă, înveți din dezacord)",,,De discutat,
04 — Pentru cine,"Titlu („Patru roluri, în jurul aceluiași detaliu.")",,,De discutat,
04 — Pentru cine,Cardurile de rol (PROIECTANT / EXECUTANT / FURNIZOR / BENEFICIAR),,,De discutat,
CTA FINAL (dark),Mesaj + buton creare cont,,,De discutat,
FOOTER,"Linkuri (termeni, confidențialitate) + copyright",,,De discutat,
GENERAL (toată pagina),"Tipografie / culori / spațieri (schimbări globale, nu per secțiune)",,,De discutat,
GENERAL (toată pagina),Mobil / tabletă (probleme responsive),,,De discutat,
